Gene ID	CV-H3K9ac_1.sort.bam	CV-H3K9ac_2.sort.bam	CV-H3K9ac_3.sort.bam	CV-H3K9ac_4.sort.bam	CV-H3K9ac_5.sort.bam	CV-H3K9ac_6.sort.bam	GF-H3K9ac_1.sort.bam	GF-H3K9ac_2.sort.bam	GF-H3K9ac_3.sort.bam	GF-H3K9ac_4.sort.bam
Upf3a	1145	1540	13461	1485	1491	345	16849	20747	12500	21846
Upf3b	543	640	6482	590	248	149	6850	8300	7900	11650
Upk1a	695	743	2337	342	250	349	2750	3301	3150	3600
Upk1b	736	296	2034	200	198	99	2150	2199	2450	1749
Upk2	841	936	2815	592	399	447	3100	3150	2750	3100
Upk3a	1029	490	2473	447	445	148	2549	2350	3200	2750
Upk3b	941	746	2620	395	298	296	2550	2850	2649	2950
Upp1	1276	980	14295	1584	1686	582	13900	16501	14501	15696
Upp2	444	489	1834	346	236	390	1400	2100	1897	1300
Uprt	742	847	5203	447	598	298	7350	9950	7200	8100
Uqcc	1484	1086	8116	1032	1087	590	14650	13350	14700	19200
Uqcr10	2079	2124	16208	1826	1777	388	19800	25402	21350	27200
Uqcr11	1572	2173	10252	1214	1686	687	20651	20550	19700	24602
Uqcrb	1830	1737	17446	2322	1878	790	25951	30654	24798	33951
Uqcrc1	1383	1735	11224	1134	1488	636	15099	16800	14152	18599
Uqcrc2	2021	2477	23055	2475	2774	889	29200	33900	28450	41351
Uqcrfs1	2086	2381	23570	3232	2685	648	29601	37699	30300	39805
Uqcrh	2731	5212	46640	3763	5597	1460	65297	66899	59399	90594
Uqcrq	2022	2581	26207	3078	2473	297	28545	40797	32150	38853
Urb1	997	895	3883	689	494	444	6700	6500	5200	8150
Urb2	1030	842	5729	493	691	146	8950	10500	9250	12903
Urgcp	1195	1187	10855	1437	1191	542	14401	18900	15850	21949
Urm1	1238	1184	10150	1335	994	740	17500	19598	18100	23603
Uroc1	646	741	1685	498	493	300	1900	2000	1850	2050
Urod	1980	1830	16586	2279	1697	598	25499	31355	23901	30750
Uros	1288	1432	12389	1718	1489	543	24651	25650	19900	35100
Use1	1578	2081	19813	1833	1767	543	28749	33050	28950	44100
Usf1	1738	1971	17084	2087	1888	695	25703	26852	23646	35500
Usf2	2320	3529	29429	3285	4770	1144	35519	36414	32848	40408
Ush1c	1822	2625	22447	1789	2628	697	26002	36101	31251	32708
Ush1g	545	796	2176	845	550	482	4300	2550	3250	4700
Ush2a	547	248	1642	294	100	248	1350	2050	1600	1600
Ushbp1	743	398	5352	1282	687	544	8750	9001	8850	11650
Usmg5	1880	2632	23630	2674	2535	397	30297	41900	34005	41350
Uso1	1934	2379	18911	2023	2290	994	26587	29800	28350	36998
Usp1	1591	3963	24583	2771	2931	1042	44500	44451	38751	56000
Usp10	1307	1779	16163	1336	2408	199	19901	21052	20150	25402
Usp11	498	832	5211	647	549	196	7899	7650	8450	9300
Usp12	1437	2530	17267	2381	2029	592	29751	28700	28198	33899
Usp13	443	543	1788	150	397	545	1000	1100	1250	1000
Usp14	1183	1230	12737	847	893	449	15902	18801	16450	20248
Usp15	945	2039	17049	1724	1741	693	25099	28299	24451	32450
Usp16	1435	2422	15226	1910	2176	597	25801	26049	26902	33650
Usp17l5	534	460	1638	295	250	398	1050	1400	1650	1150
Usp18	545	889	4811	694	300	595	7950	9050	8450	13650
Usp19	1663	2236	16864	2029	2169	595	24250	24950	22898	31152
