Gene ID	merged_CV-H3K9ac_1.sort.bam	merged_CV-H3K9ac_2.sort.bam	merged_CV-H3K9ac_3.sort.bam	merged_CV-H3K9ac_4.sort.bam	merged_CV-H3K9ac_5.sort.bam	merged_CV-H3K9ac_6.sort.bam	GF-H3K9ac_1.sort.bam	GF-H3K9ac_2.sort.bam	GF-H3K9ac_3.sort.bam	GF-H3K9ac_4.sort.bam
Csf2rb	812.3477796658913	892.5271880364173	932.7897785391707	812.5701650089416	976.1455192826061	947.0	720.9866695252717	839.0840672674024	828.7686932838272	583.0900500881199
Csf2rb2	630.7811788679048	957.1907402678451	867.1637175242163	1264.79445892731	1113.304652466476	1202.0	745.8482788192466	926.4886576077567	523.4328589161014	941.9146962961937
Csf3	649.9505610238675	1038.871016770701	985.1847788656262	1170.3095560192935	1240.6667047086407	1342.0	1367.3885111686188	1048.5054657228916	1221.3433374709034	1883.8293925923874
Csf3r	757.3714383884133	1060.992758323558	726.9144742261282	845.8027860317612	843.4396047086021	745.0	1168.4956368168198	681.7558046547645	916.0075031031776	986.767777072203
Csgalnact1	992.4676346407861	1254.1325788042698	1092.620991656237	1329.9564609328386	1418.795449103277	1047.0	2336.9912736336396	1748.0918068070882	1526.6791718386291	2108.0947964724337
Csgalnact2	1223.5852798796573	1188.192772252485	1381.0581146655124	1657.0697110005922	1913.1027147983923	1191.0	3555.210129038409	2552.214037938349	2530.3616788102536	4395.153385241144
Csk	1749.1157001176537	3654.7669553960254	4754.978590232726	4687.102804257672	8803.122547982919	2343.0	11114.133818778533	7584.6207313745945	10447.283669916287	14845.024144435773
Csl	830.7937889103082	847.0074506103464	671.6086405482029	974.1719299826525	933.3946206278935	700.0	646.4018416433471	943.9695756758277	697.9104785548019	313.97156543206455
Csmd1	609.8033644330777	658.5472293042774	578.4619733011708	682.2461609978844	576.2464881166479	800.0	99.44643717589955	681.7558046547645	370.7649417322385	224.2654038800461
Csmd3	541.4446242920031	722.7853634289195	905.533793520863	585.1547780096467	310.8346589686401	550.0	671.263450937322	699.5863410841968	741.529883464477	493.3838885361015
Csn1s1	594.9742197463896	404.1472014464235	603.6009886093186	487.4117750013539	486.2914721973567	699.0	497.23218587949776	628.9634320891904	567.0522638257765	448.5308077600922
Csn1s2a	667.6731973567387	615.5800005189208	695.4245497875008	678.3364408775527	489.8540470852494	200.0	348.0625301156484	891.526821471615	458.0037515515888	583.0900500881199
Csn1s2b	757.7331248441861	318.21274387571026	564.172427757592	616.4325389723006	399.89903116595815	600.0	423.1445901834526	559.3893781782683	458.0037515515888	717.6492924161475
Csn2	864.0689428414132	593.0328408592782	763.1675805126151	420.94653295571476	400.78967488793137	698.0	447.50896729154795	751.679476927048	458.4399456006855	672.7962116401384
Csn3	792.8167110541557	844.8803600764179	603.6009886093186	518.6895359640076	311.72530269061326	297.0	323.20092082167355	751.679476927048	567.0522638257765	493.3838885361015
Csnk1a1	4145.288469612991	9063.107346962743	15521.621914891799	11546.055135359613	15189.038034530624	3295.0	38234.66893320398	32424.306069380596	33914.9597053706	42919.91299456323
Csnk1d	2726.030817160206	5330.914296131718	8134.985353716648	9133.757821114943	13782.711597534972	4096.0	16657.775459149056	14717.8841582316	15092.31409874759	21214.610145436844
Csnk1e	1570.0809045100773	2780.5327459513933	3692.524416946266	3671.227192991481	5369.690999776307	1492.0	7802.567460821078	5573.61591682372	6277.268560551346	9504.816347244116
Csnk1g1	1515.1045632325995	2379.36347125247	4100.041086152031	3703.15657397419	4714.177220404045	1643.0	9894.423266816126	8162.889501066379	8681.133965123543	11684.676072958164
Csnk1g2	2503.593646859884	4759.577778718512	7198.755499398468	8233.218953398538	11647.838595965259	2995.0	16855.673869129096	15681.432362143667	15463.515234528926	26866.995384829526
Csnk1g3	3315.218053614229	6096.666888345994	8636.442553810755	8083.346348785823	10807.961566144548	2745.0	18423.446951207152	16833.7744811909	15616.18315171279	21510.191947750744
Csnk2a1	2054.0173823341925	3459.9254624881705	5007.162606955514	5920.619502222328	7602.534810763071	2193.0	13378.529193273765	10225.987451460105	12454.648683859537	15250.495994650897
Csnk2a2	1858.3450097610637	2889.865199395321	3768.2060840844797	4424.499936175392	5511.303351570043	2075.0	9223.159815878804	7045.159599793928	7895.112288651197	11597.212565444945
Csnk2b	2344.451606319816	4391.165698242087	5548.048367901348	6280.965373312902	8923.359450449298	2942.0	14693.211092739159	11833.532676999903	14176.306595644413	19466.237056788003
Csnka2ip	738.9254291439963	636.4254877514205	798.0975807302522	615.12929893219	712.5149775785446	399.0	472.3705765855229	751.679476927048	654.2910736451267	381.2511865960784
Cspg4	933.8744288055793	956.7653221610593	907.3861420172528	1042.5920320884575	1467.780853811802	797.0	1640.8662134023425	1013.8932479481113	1548.4888742934668	1255.8862617282582
Cspg5	846.7079929643149	1083.9653360899863	1300.6132656794393	1462.886945024117	1507.859821300595	1396.0	2236.550372085981	1450.9161996498833	1875.6344111160302	2265.080579188466
Cspp1	2555.6764964911786	5179.04003200922	8627.974674970115	7766.0073990188985	9596.686104261024	3194.0	21852.360105032167	18529.773152155136	18408.261259981093	26956.701546381544
Csprs	2198.3302781875723	1991.8075759706892	2140.785619399118	2536.105118055173	1732.3020392378367	1840.0	1690.5894319902923	1468.3971177179542	1635.7276841128169	986.767777072203
Csrnp1	1435.8952294183384	2548.679877753182	3538.514870532139	3969.6691621768023	3286.475334081037	2141.0	6737.496118667194	7464.701633427629	7021.851802359501	9172.006487886127
Csrnp2	1481.1060363899487	2080.2945421821164	2600.168046503799	2046.0868629735978	3949.1142632290835	1644.0	6165.181872719892	4212.901254405083	5408.806208799715	6997.080601057439
Csrnp3	631.8662382352235	740.6529239139192	681.3996254576921	811.9185449888863	576.2464881166479	549.0	596.6786230553973	594.3512143144101	501.6231564612639	381.2511865960784
Csrp1	1263.0091035589012	1652.7493448624791	2247.427968548419	2210.29510802753	2133.9823578477412	1199.0	4497.962353465937	2290.000266917286	3642.2203099578724	4350.748835272895
Csrp2	1461.574967778213	1571.4944864664087	3150.580171145352	1980.9248609680694	4094.289189910712	1446.0	6491.366186656843	4807.252468719493	4645.4666228804	7198.470933741721
Csrp2bp	2109.7170965232162	3437.378302828528	4829.07253008832	4393.222175212738	6140.097819283108	1748.0	12505.389474869367	9159.30183094642	10076.954922233146	13882.028500174854
Csrp3	721.564479266898	742.354596341062	800.2145504404119	551.2705369667719	846.1115358745217	1144.0	720.9866695252717	734.1985588589771	719.7201810096394	650.3696712521338
