GeneName	GF-H3K9ac_1	GF-H3K9ac_4	GF-H3K9ac_3	GF-H3K9ac_2	merged_CV-H3K9ac_6	merged_CV-H3K9ac_5	merged_CV-H3K9ac_4	merged_CV-H3K9ac_3	merged_CV-H3K9ac_2	merged_CV-H3K9ac_1
Gm4787	12.928036832866942	13.455924232802767	9.160075031031775	14.334352815818125	12.0	18.703518161436797	9.774300300829289	12.966439474728897	15.74046995107123	18.084322788644062
Gm4788	400.2719096329957	306.7950725079031	459.312333698879	508.34509741950126	503.0	452.44701076237584	380.546091712287	538.7687912356741	443.7110853774944	572.549659488471
Gm4791	28.342234595131373	23.772132811284887	32.71455368225634	35.6610728588646	53.0	43.641542376685855	44.31016136375945	44.7209851271262	54.878935775356446	47.38092570624744
Gm4792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4794	58.673397933780734	56.51488177777162	60.194778775351665	83.20917000401741	63.0	52.54797959641766	66.46524204563917	70.65386407658399	62.1110435907135	84.27294419508132
Gm4814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4832	27.347770223372375	25.117725234565164	28.78880724038558	21.676338404407893	38.0	24.93802421524906	37.1423411431513	33.342272935017164	30.20468558178533	31.105035196467785
Gm4836	334.1400289110225	281.67734727333794	413.0757644946234	497.50692821729734	485.0	448.8844358744831	536.2832765055003	553.3229579930229	499.4408573664223	593.5274739232981
Gm4841	19.88928743517991	18.838293925923875	27.916419142192076	25.52214037938349	29.0	22.26609304932952	20.85184064176915	31.225303224857345	27.65217694107108	33.63684038687796
Gm4846	92.98241875946607	81.63260701233679	106.4313479796073	100.69008807208829	118.0	110.43982152467441	142.05316437205235	111.6701522109305	153.57593654964091	122.25002205123386
Gm4847	82.04331067011712	65.03696712521338	101.19701939044627	108.38169202203947	109.0	102.42402802691579	116.63998358989619	127.01818260958919	119.1170698999985	147.92976041110842
Gm4850	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4858	52.209379517347266	26.463317657845444	50.598509695223136	46.848860422429965	62.0	68.57956659193492	72.98144224619203	56.099697319235226	64.66355223142776	57.869832923660994
Gm4861	49.72321858794977	64.1399055096932	42.310822762384866	45.4503869769843	66.0	32.06317399103451	45.613401403870014	47.36719726482597	58.70769873642783	46.65755279470168
Gm4871	111.38000963700749	54.27222773897116	68.48246570818993	65.72825193594652	94.0	87.28308475337171	80.80088248685546	84.14954597885284	102.95118184214155	83.91125773930844
Gm4884	34.309020825685344	23.772132811284887	27.916419142192076	36.01069122022602	52.0	50.7666921524713	48.871501504146444	48.42568211990588	41.265556358213765	56.78477355634235
Gm4890	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4894	45.74536110091379	39.470711082888116	47.10895730244913	44.051913531538624	54.0	46.3134735426054	57.34256176486517	55.30583367792529	62.1110435907135	64.74187558334575
Gm4902	144.19733390505434	138.5960195978685	166.1899327058622	149.63665866268676	170.0	156.75329506727982	171.3760652745402	149.24636456626732	159.95720815142656	145.39795522069826
Gm4906	6.464018416433471	4.9338388853610144	6.542910736451268	8.390840672674024	6.0	6.234506053812265	10.425920320884575	7.6740151993293475	11.060870776428432	6.872042659684743
Gm4907	9.944643717589955	9.419146962961937	11.341045276515532	11.187787563565365	17.0	15.140943273544073	18.245360561548008	14.554166757348762	11.48628888321414	14.467458230915248
Gm4922	48.72875421619078	35.88246462080738	69.35485380638345	67.47634374275361	66.0	78.37664753363991	53.43284164453345	65.09681858741446	63.81271601785634	71.2522317872576
Gm4925	285.4112746948317	296.0303331216609	243.39627939598716	214.66567387591044	42.0	146.06557040360164	92.53004284785061	115.63947041748017	68.49231519249913	38.33876431192541
Gm4926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4934	79.05991755484014	41.713365121688575	58.45000257896466	48.24733386787564	91.0	95.29887825113035	89.27194274757417	72.24159135920385	65.93980655178488	64.01850267179998
Gm4937	12.928036832866942	9.867677770722029	10.032463129225277	10.48855084084253	13.0	13.359655829597711	12.380780381050434	16.93575768127856	8.08294402892847	15.914204054006774
Gm4944	343.58744044273294	430.58957544968854	340.23135829546595	270.95423005509866	94.0	153.19072017938709	158.99528489348978	157.71424340690658	116.98997936606995	109.59099609918302
Gm4951	40.275807056239316	40.3677726984083	34.89552392774009	35.311454497503185	54.0	43.641542376685855	39.748821223372445	44.45636391335622	48.49766417357082	54.25296836593218
Gm4952	143.20286953329534	131.41952667370703	140.45448380915388	170.61376034437183	182.0	129.1433396861112	138.14344425172064	178.09007686719485	162.93513489892652	186.63021117880672
Gm4956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4975	81.04884629835813	63.6913747019331	79.38731693560872	103.13741660161821	111.0	83.72050986547899	110.77540340939862	102.14378851521131	97.84616456071305	112.12280128959318
Gm4980	20.386519621059406	17.94123231040369	17.447761963870047	20.97710168168506	25.0	24.04738049327588	29.32290090248787	17.729621322588493	21.270905339285445	19.169382155962705
Gm4981	36.29794956920333	40.3677726984083	42.310822762384866	41.604585002008704	69.0	73.923428923774	69.7233421459156	68.80151558019415	66.7906427653563	58.59320583520676
Gm4984	9.944643717589955	11.661801001762399	7.41529883464477	6.992367227228353	7.0	6.234506053812265	7.167820220608146	8.46787884063928	9.784616456071305	9.042161394322031
Gm5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm5039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
