gene	read_counts_per_gene_CV-H3K9ac_1.txt	read_counts_per_gene_CV-H3K9ac_2.txt	read_counts_per_gene_CV-H3K9ac_3.txt	read_counts_per_gene_CV-H3K9ac_4.txt	read_counts_per_gene_CV-H3K9ac_5.txt	read_counts_per_gene_CV-H3K9ac_6.txt	read_counts_per_gene_GF-H3K9ac_1.txt	read_counts_per_gene_GF-H3K9ac_2.txt	read_counts_per_gene_GF-H3K9ac_3.txt	read_counts_per_gene_GF-H3K9ac_4.txt
9430038I01Rik	14.82914468668813	24.674250193571115	35.459242645176985	30.62614094259844	42.75089865471268	12.0	78.06545318308115	60.134358154163834	71.09963000277044	95.08853124513955
9430041J12Rik	7.957102027003387	10.210034562857015	6.086287916709482	13.032400401105718	8.906437219731808	5.0	5.966786230553973	8.041222311312605	5.234328589161015	7.625023731921568
9430060I03Rik	20.97781443482711	30.63010368857104	44.45636391335622	39.097201203317155	53.438623318390846	19.0	92.48518657358657	75.1679476927048	92.909332457608	100.47090093826066
9430069I07Rik	8.68047493854915	12.337125096785558	9.261742481949213	8.471060260718717	7.125149775785446	16.0	7.458482788192466	6.992367227228353	6.979104785548019	6.727962116401383
9430076C15Rik	10.488907217413555	9.784616456071305	9.52636369571919	10.425920320884575	8.906437219731808	6.0	14.419733390505435	7.691603949951189	10.032463129225277	4.485308077600923
9430076G02Rik	9.042161394322031	9.359198349285595	7.40939398555937	9.122680280774004	8.906437219731808	3.0	6.464018416433471	6.293130504505518	5.670522638257766	2.2426540388004614
9430083A17Rik	26.04142481564745	53.60268145499932	78.85712170345329	87.31708268740832	133.5965582959771	43.0	144.19733390505434	116.07329597199066	136.09254331818636	207.6697639929227
9430091E24Rik	18.084322788644062	23.39799587321399	29.108333514697524	26.064800802211437	53.438623318390846	14.0	82.04331067011712	64.67939685186226	63.248137119028925	104.0591474003414
9530002B09Rik	7.957102027003387	7.232107815357051	7.144772771789392	9.122680280774004	7.125149775785446	9.0	4.475089672915479	8.390840672674024	6.106716687354517	4.9338388853610144
9530003J23Rik	7.233729115457624	11.48628888321414	8.997121268179235	6.516200200552859	8.906437219731808	6.0	4.972321858794977	6.992367227228353	9.160075031031775	8.07355453968166
9530008L14Rik	11.573966584732199	11.060870776428432	13.76030311603883	12.380780381050434	7.125149775785446	9.0	14.419733390505435	17.131299706709466	15.266791718386292	21.080947964724334
9530026F06Rik	7.957102027003387	8.08294402892847	9.261742481949213	12.380780381050434	13.359655829597711	11.0	17.900358691661918	15.033589538540959	14.39440362019279	17.492701502643598
9530026P05Rik	4.701923925047456	9.359198349285595	6.6155303442494375	8.471060260718717	3.562574887892723	8.0	6.961250602312968	5.593893781782683	6.979104785548019	8.522085347441752
9530027J09Rik	6.148669748138981	5.105017281428507	8.997121268179235	10.425920320884575	16.031586995517255	4.0	25.856073665733884	16.43206298398663	23.990672700321316	33.19127977424682
9530036O11Rik	6.148669748138981	9.359198349285595	7.40939398555937	8.471060260718717	14.250299551570892	12.0	9.447411531710458	10.138932479481113	9.160075031031775	16.14710907936332
9530048J24Rik	7.233729115457624	7.65752592214276	10.055606123259144	7.819440240663432	12.46901210762453	14.0	6.961250602312968	9.789314118119695	9.160075031031775	5.382369693121107
9530051G07Rik	5.7869832923660995	5.105017281428507	6.35090913047946	8.471060260718717	14.250299551570892	3.0	12.430804646987443	10.138932479481113	13.085821472902536	19.286824733683968
9530052E02Rik	18.446009244416942	30.20468558178533	39.69318206549662	57.99418178492045	59.673129372203114	24.0	97.95474061826106	68.52519882683787	70.6634359536737	100.02237013050058
