tracking_id	q27_FPKM	q28_FPKM	q29_FPKM	q30_FPKM	q31_FPKM	q32_FPKM	q27_FPKMr	q28_FPKMr	q29_FPKMr	q30_FPKMr	q31_FPKMr	q32_FPKMr
Pycr2	4.84402	3.60717	4.46777	4.25185	4.60226	4.83083	4.84402	3.60717	4.46777	4.25185	4.60226	4.83083
Pycrl	33.9624	32.8244	25.1942	27.2238	29.5562	30.7956	33.9624	32.8244	25.1942	27.2238	29.5562	30.7956
Pygb	5.9762	5.8233	4.71075	4.31902	4.12382	5.01435	5.9762	5.8233	4.71075	4.31902	4.12382	5.01435
Pygl	0.625132	0.684562	0.718772	0.977696	1.09575	0.893695	0.625132	0.684562	0.718772	0.977696	1.09575	0.893695
Pygo2	10.9441	11.9926	11.3049	13.8396	13.2968	12.4286	10.9441	11.9926	11.3049	13.8396	13.2968	12.4286
Pyroxd1	10.1712	9.59206	10.4363	11.5505	11.0694	11.7576	10.1712	9.59206	10.4363	11.5505	11.0694	11.7576
Pyroxd2	1.39566	1.37759	2.01483	2.08699	1.32312	1.7129	1.39566	1.37759	2.01483	2.08699	1.32312	1.7129
Pyy	127.321	135.56	150.587	136.746	165.599	133.288	127.321	135.56	150.587	136.746	165.599	133.288
Qars	64.2134	73.9763	69.1919	65.4812	59.891	65.7506	64.2134	73.9763	69.1919	65.4812	59.891	65.7506
Qdpr	53.1259	80.5862	80.7617	74.9769	56.791	60.0789	53.1259	80.5862	80.7617	74.9769	56.791	60.0789
